Poltava  (2423,805)  (2468,824)  (2417,850)  (2368,829)  (2370,775)  (2419,757)  (2470,772)  (2469,868)  | overflowToLeft=false
Chernihiv  (2080,337)  (2027,360)  (2070,394)  (2123,374)  (2127,316)  (2065,290)  (2001,309)  (2004,414)  | overflowToLeft=false
East Odesa  (1662,1531)  (1712,1547)  (1664,1581)  (1611,1556)  (1605,1510)  (1651,1474)  (1705,1492)  (1714,1615)  | overflowToLeft=false
Russia  (3303,271)  (3333,329)  (3386,349)  (3390,298)  (3354,257)  (3448,310)  (3451,370)  (3507,343)  | overflowToLeft=false
Ternopil  (775,946)  (718,915)  (770,884)  (826,902)  (832,965)  (788,1010)  (730,1015)  (707,965)  | overflowToLeft=false
South Odesa  (1529,2032)  (1585,2027)  (1588,2072)  (1538,2089)  (1482,2076)  (1503,1981)  (1557,1960)  (1620,1979)  | overflowToLeft=false
East Kyiv  (1975,700)  (1934,662)  (1991,655)  (2041,660)  (2031,706)  (2010,763)  (1961,746)  (1927,710)  | overflowToLeft=false
Chernivtsi  (850,1301)  (802,1324)  (841,1349)  (893,1305)  (861,1257)  (810,1259)  (781,1367)  (936,1278)  | overflowToLeft=false
Kursk  (2654,230)  (2635,279)  (2646,327)  (2698,358)  (2708,302)  (2711,243)  (2756,285)  (2766,358)  | overflowToLeft=false
Poland  (160,444)  (195,400)  (138,382)  (101,428)  (115,478)  (169,503)  (217,468)  (253,416)  | overflowToLeft=false
Kherson  (2491,1809)  (2483,1761)  (2535,1766)  (2545,1814)  (2536,1867)  (2485,1868)  (2428,1845)  (2440,1797)  | overflowToLeft=false
Rostov  (3514,1516)  (3477,1560)  (3530,1569)  (3563,1491)  (3579,1538)  (3587,1593)  (3589,1660)  (3594,1709)  | overflowToLeft=false
Slovakia  (20,1212)  | overflowToLeft=false
Kharkiv  (3024,854)  (3074,881)  (3021,906)  (2978,885)  (2975,839)  (3030,801)  (3071,822)  (3078,923)  | overflowToLeft=false
City of Dnipro  (2407,1052)  (2460,1080)  (2479,1136)  (2451,1188)  (2395,1211)  (2338,1184)  (2322,1126)  (2349,1074)  | overflowToLeft=false
Romania  (571,1777)  (622,1755)  (632,1811)  (579,1829)  (525,1808)  (523,1748)  (561,1712)  (615,1691)  | overflowToLeft=false
Khmelnytskyl  (1042,905)  (1087,924)  (1039,954)  (993,926)  (994,881)  (1049,860)  (1091,881)  (1093,973)  | overflowToLeft=false
Cherkasy  (1875,1028)  (1920,1065)  (1867,1084)  (1812,1047)  (1923,1009)  (1813,1101)  (1971,1044)  (1916,1112)  | overflowToLeft=false
Volyn  (526,363)  (597,351)  (665,380)  (572,421)  (634,435)  (537,479)  (598,497)  (686,478)  | overflowToLeft=false
Mykolayiv  (2031,1539)  (2083,1550)  (2079,1600)  (2028,1589)  (1981,1567)  (1979,1524)  (2026,1489)  (2076,1498)  | overflowToLeft=false
Lviv  (419,849)  (486,844)  (464,896)  (410,908)  (353,869)  (367,815)  (429,794)  (485,791)  | overflowToLeft=false
Bryansk  (2087,83)  (2135,34)  (2192,41)  (2235,59)  (2291,34)  (2351,31)  (2420,34)  (2489,56)  | overflowToLeft=false
